YEAR,AGE_GROUP,TYPE,AREA,UNIT
2015,...10,production,153.00,kha
2015,unknown,production,89.60,kha
2015,clearcut,production,67.80,kha
2015,141...,protected,14.60,kha
2015,131...140,protected,6.50,kha
2015,121...130,protected,7.10,kha
2015,111...120,protected,9.60,kha
2015,101...110,protected,13.00,kha
2015,91...100,protected,18.80,kha
2015,81...90,protected,23.70,kha
2015,71...80,protected,33.00,kha
2015,61...70,protected,41.20,kha
2015,51...60,protected,34.00,kha
2015,41...50,protected,33.70,kha
2015,31...40,protected,23.10,kha
2015,21...30,protected,11.30,kha
2015,11...20,protected,8.80,kha
2015,...10,protected,3.60,kha
2015,unknown,protected,4.10,kha
2015,clearcut,protected,2.10,kha
2016,141...,production,7.80,kha
2016,131...140,production,9.10,kha
2016,121...130,production,7.10,kha
2016,111...120,production,20.30,kha
2016,101...110,production,35.60,kha
2016,91...100,production,63.10,kha
2016,81...90,production,106.50,kha
2016,71...80,production,165.50,kha
2016,61...70,production,229.40,kha
2016,51...60,production,248.00,kha
2016,41...50,production,233.90,kha
2016,31...40,production,206.90,kha
2016,21...30,production,149.70,kha
2016,11...20,production,197.10,kha
2016,...10,production,155.20,kha
2016,unknown,production,89.00,kha
2016,clearcut,production,74.40,kha
2016,141...,protected,15.20,kha
2016,131...140,protected,7.10,kha
2016,121...130,protected,6.50,kha
2016,111...120,protected,11.70,kha
2016,101...110,protected,14.50,kha
2016,91...100,protected,20.50,kha
2016,81...90,protected,25.30,kha
2016,71...80,protected,35.40,kha
2016,61...70,protected,44.30,kha
2016,51...60,protected,37.40,kha
2016,41...50,protected,35.40,kha
2016,31...40,protected,28.00,kha
2016,21...30,protected,12.50,kha
2016,11...20,protected,9.90,kha
2016,...10,protected,4.20,kha
2016,unknown,protected,4.70,kha
2016,clearcut,protected,2.30,kha
2017,141...,production,8.30,kha
2017,131...140,production,9.40,kha
2017,121...130,production,7.90,kha
2017,111...120,production,20.40,kha
2017,101...110,production,35.20,kha
2017,91...100,production,65.10,kha
2017,81...90,production,107.30,kha
2017,71...80,production,161.40,kha
2017,61...70,production,216.90,kha
2017,51...60,production,238.70,kha
2017,41...50,production,234.00,kha
2017,31...40,production,201.70,kha
2017,21...30,production,153.90,kha
2017,11...20,production,198.50,kha
2017,...10,production,158.40,kha
2017,unknown,production,92.80,kha
2017,clearcut,production,72.60,kha
2017,141...,protected,17.40,kha
2017,131...140,protected,8.40,kha
2017,121...130,protected,8.10,kha
2017,111...120,protected,11.60,kha
2017,101...110,protected,16.10,kha
2017,91...100,protected,22.30,kha
2017,81...90,protected,27.70,kha
2017,71...80,protected,42.10,kha
2017,61...70,protected,47.20,kha
2017,51...60,protected,43.30,kha
2017,41...50,protected,35.90,kha
2017,31...40,protected,30.60,kha
2017,21...30,protected,13.60,kha
2017,11...20,protected,12.00,kha
2017,...10,protected,4.40,kha
2017,unknown,protected,4.90,kha
2017,clearcut,protected,3.00,kha
2018,141...,production,9.70,kha
2018,131...140,production,10.10,kha
2018,121...130,production,9.80,kha
2018,111...120,production,22.00,kha
2018,101...110,production,35.40,kha
2018,91...100,production,67.00,kha
2018,81...90,production,113.00,kha
2018,71...80,production,171.60,kha
2018,61...70,production,216.90,kha
2018,51...60,production,234.60,kha
2018,41...50,production,231.40,kha
2018,31...40,production,195.50,kha
2018,21...30,production,162.20,kha
2018,11...20,production,204.60,kha
2018,...10,production,163.40,kha
2018,unknown,production,99.90,kha
2018,clearcut,production,76.40,kha
2018,141...,protected,16.80,kha
2018,131...140,protected,7.90,kha
2018,121...130,protected,7.10,kha
2018,111...120,protected,10.50,kha
2018,101...110,protected,14.30,kha
2018,91...100,protected,20.20,kha
2018,81...90,protected,23.80,kha
2018,71...80,protected,34.50,kha
2018,61...70,protected,40.90,kha
2018,51...60,protected,38.10,kha
2018,41...50,protected,33.80,kha
2018,31...40,protected,26.40,kha
2018,21...30,protected,13.60,kha
2018,11...20,protected,9.80,kha
2018,...10,protected,4.40,kha
2018,unknown,protected,2.70,kha
2018,clearcut,protected,3.20,kha
2019,141...,production,11.10,kha
2019,131...140,production,9.90,kha
2019,121...130,production,11.50,kha
2019,111...120,production,23.80,kha
2019,101...110,production,33.80,kha
2019,91...100,production,67.10,kha
2019,81...90,production,108.20,kha
2019,71...80,production,166.20,kha
2019,61...70,production,213.90,kha
2019,51...60,production,225.30,kha
2019,41...50,production,226.00,kha
2019,31...40,production,184.90,kha
2019,21...30,production,168.50,kha
2019,11...20,production,203.20,kha
2019,...10,production,167.30,kha
2019,unknown,production,104.70,kha
2019,clearcut,production,79.10,kha
2019,141...,protected,17.20,kha
2019,131...140,protected,9.80,kha
2019,121...130,protected,8.00,kha
2019,111...120,protected,12.00,kha
2019,101...110,protected,15.00,kha
2019,91...100,protected,19.40,kha
2019,81...90,protected,26.30,kha
2019,71...80,protected,39.70,kha
2019,61...70,protected,42.40,kha
2019,51...60,protected,40.00,kha
2019,41...50,protected,32.40,kha
2019,31...40,protected,28.30,kha
2019,21...30,protected,15.60,kha
2019,11...20,protected,11.10,kha
2019,...10,protected,4.50,kha
2019,unknown,protected,4.50,kha
2019,clearcut,protected,2.40,kha
2020,141...,production,11.60,kha
2020,131...140,production,10.00,kha
2020,121...130,production,11.30,kha
2020,111...120,production,23.60,kha
2020,101...110,production,33.80,kha
2020,91...100,production,64.40,kha
2020,81...90,production,106.20,kha
2020,71...80,production,165.30,kha
2020,61...70,production,204.20,kha
2020,51...60,production,216.10,kha
2020,41...50,production,212.30,kha
2020,31...40,production,177.80,kha
2020,21...30,production,171.90,kha
2020,11...20,production,202.40,kha
2020,...10,production,172.00,kha
2020,unknown,production,111.60,kha
2020,clearcut,production,85.30,kha
2020,141...,protected,17.40,kha
2020,131...140,protected,9.60,kha
2020,121...130,protected,9.30,kha
2020,111...120,protected,13.70,kha
2020,101...110,protected,17.70,kha
2020,91...100,protected,21.80,kha
2020,81...90,protected,29.10,kha
2020,71...80,protected,41.30,kha
2020,61...70,protected,42.10,kha
2020,51...60,protected,40.90,kha
2020,41...50,protected,32.20,kha
2020,31...40,protected,28.20,kha
2020,21...30,protected,17.60,kha
2020,11...20,protected,10.80,kha
2020,...10,protected,5.90,kha
2020,unknown,protected,4.40,kha
2020,clearcut,protected,3.50,kha
2021,141...,production,10.50,kha
2021,131...140,production,9.30,kha
2021,121...130,production,10.60,kha
2021,111...120,production,22.00,kha
2021,101...110,production,29.90,kha
2021,91...100,production,60.60,kha
2021,81...90,production,97.80,kha
2021,71...80,production,155.50,kha
2021,61...70,production,188.00,kha
2021,51...60,production,202.80,kha
2021,41...50,production,197.00,kha
2021,31...40,production,175.10,kha
2021,21...30,production,176.80,kha
2021,11...20,production,201.20,kha
2021,...10,production,183.10,kha
2021,unknown,production,118.70,kha
2021,clearcut,production,79.10,kha
2021,141...,protected,20.60,kha
2021,131...140,protected,11.00,kha
2021,121...130,protected,12.00,kha
2021,111...120,protected,17.20,kha
2021,101...110,protected,21.40,kha
2021,91...100,protected,27.40,kha
2021,81...90,protected,37.90,kha
2021,71...80,protected,51.10,kha
2021,61...70,protected,50.60,kha
2021,51...60,protected,44.60,kha
2021,41...50,protected,37.40,kha
2021,31...40,protected,29.40,kha
2021,21...30,protected,18.70,kha
2021,11...20,protected,11.30,kha
2021,...10,protected,7.10,kha
2021,unknown,protected,6.00,kha
2021,clearcut,protected,4.00,kha
2022,141...,production,10.00,kha
2022,131...140,production,8.00,kha
2022,121...130,production,9.40,kha
2022,111...120,production,21.40,kha
2022,101...110,production,28.00,kha
2022,91...100,production,57.10,kha
2022,81...90,production,95.90,kha
2022,71...80,production,151.30,kha
2022,61...70,production,183.60,kha
2022,51...60,production,199.80,kha
2022,41...50,production,184.10,kha
2022,31...40,production,173.80,kha
2022,21...30,production,186.50,kha
2022,11...20,production,196.60,kha
2022,...10,production,196.40,kha
2022,unknown,production,121.70,kha
2022,clearcut,production,79.70,kha
2022,141...,protected,22.60,kha
2022,131...140,protected,11.70,kha
2022,121...130,protected,12.80,kha
2022,111...120,protected,19.00,kha
2022,101...110,protected,21.60,kha
2022,91...100,protected,30.30,kha
2022,81...90,protected,40.50,kha
2022,71...80,protected,53.20,kha
2022,61...70,protected,51.30,kha
2022,51...60,protected,44.70,kha
2022,41...50,protected,35.40,kha
2022,31...40,protected,27.80,kha
2022,21...30,protected,18.90,kha
2022,11...20,protected,11.30,kha
2022,...10,protected,8.30,kha
2022,unknown,protected,7.20,kha
2022,clearcut,protected,5.20,kha
2023,141...,production,11.20,kha
2023,131...140,production,8.40,kha
2023,121...130,production,8.40,kha
2023,111...120,production,21.10,kha
2023,101...110,production,30.10,kha
2023,91...100,production,57.70,kha
2023,81...90,production,89.90,kha
2023,71...80,production,148.50,kha
2023,61...70,production,180.40,kha
2023,51...60,production,195.60,kha
2023,41...50,production,178.70,kha
2023,31...40,production,174.40,kha
2023,21...30,production,194.40,kha
2023,11...20,production,193.50,kha
2023,...10,production,210.80,kha
2023,unknown,production,123.80,kha
2023,clearcut,production,77.70,kha
2023,141...,protected,24.20,kha
2023,131...140,protected,11.10,kha
2023,121...130,protected,13.70,kha
2023,111...120,protected,20.40,kha
2023,101...110,protected,22.90,kha
2023,91...100,protected,32.60,kha
