Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;1,9
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;2,0
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;6,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;6,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;4,8
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;4,5
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;6,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;5,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;4,5
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;31...40;5,2
