Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;53,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;53,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;53,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;49,9
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;47,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;48,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;49,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;50,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;50,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;53,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;56,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;58,9
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;60,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;50,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;73,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;72,8
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;70,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;70,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;71,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;65,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;59,8
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;61,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;63,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;72,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;74,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;87,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;94,0
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;90,6
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;84,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;85,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;85,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;82,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;82,9
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;85,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;82,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;81,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;84,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;86,4
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;61...70;85,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;125,7
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;122,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;122,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;122,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;124,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;126,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;126,0
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;125,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;126,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;121,8
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;114,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;110,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;111,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;105,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;106,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;110,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;112,4
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;109,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;107,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;101,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;96,0
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;92,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;90,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;90,7
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;90,9
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;89,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;142,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;132,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;137,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;134,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;136,8
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;135,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;137,5
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;130,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;129,7
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;125,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;128,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;129,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;131,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;126,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;123,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;111,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;103,8
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;97,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;101,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;100,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;95,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;92,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;87,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;78,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;73,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;71,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;126,8
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;111,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;114,7
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;107,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;104,1
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;96,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;95,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;86,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;84,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;80,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;76,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;75,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;77,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;80,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;80,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;81,1
