Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;161,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;171,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;166,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;165,3
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;155,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;151,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;148,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;193,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;220,3
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;217,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;216,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;213,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;213,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;209,5
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;207,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;211,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;215,8
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;224,6
